Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US25540,25540,"United States - In metropolitan statistical area - Hartford-West Hartford-East Hartford, CT MSA","Hartford-West Hartford-East Hartford, CT MSA",1212381,507049,1606.73,92.12,1514.61,800.5,334.8
310M100US25620,25620,"United States - In metropolitan statistical area - Hattiesburg, MS MSA","Hattiesburg, MS MSA",142842,61878,1620.87,10.25,1610.62,88.7,38.4
310M100US25860,25860,"United States - In metropolitan statistical area - Hickory-Lenoir-Morganton, NC MSA","Hickory-Lenoir-Morganton, NC MSA",365497,162613,1666.45,29.07,1637.38,223.2,99.3
310M100US25980,25980,"United States - In metropolitan statistical area - Hinesville-Fort Stewart, GA MSA","Hinesville-Fort Stewart, GA MSA",77917,32770,1006.34,116.25,890.09,87.5,36.8
310M100US26100,26100,"United States - In metropolitan statistical area - Holland-Grand Haven, MI MSA","Holland-Grand Haven, MI MSA",263801,102495,1631.41,1067.94,563.47,468.2,181.9
310M100US26180,26180,"United States - In metropolitan statistical area - Honolulu, HI MSA","Honolulu, HI MSA",953207,336899,2128.07,1527.33,600.74,1586.7,560.8
310M100US26300,26300,"United States - In metropolitan statistical area - Hot Springs, AR MSA","Hot Springs, AR MSA",96024,50548,734.62,56.84,677.78,141.7,74.6
310M100US26380,26380,"United States - In metropolitan statistical area - Houma-Bayou Cane-Thibodaux, LA MSA","Houma-Bayou Cane-Thibodaux, LA MSA",208178,82469,3556.38,1256.35,2300.03,90.5,35.9
310M100US26420,26420,"United States - In metropolitan statistical area - Houston-Sugar Land-Baytown, TX MSA","Houston-Sugar Land-Baytown, TX MSA",5946800,2308205,10071.73,1244.24,8827.49,673.7,261.5
310M100US26580,26580,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA","Huntington-Ashland, WV-KY-OH MSA",287702,131132,1773.87,29.24,1744.63,164.9,75.2
